respondent_id;country.x;seascape;province;district;village;survey_date;interviewer_NAme;where_from;years_village;age;education_level;clan;religion;marital_status;hh_head;gender;social_network;group_hh_size.adult_males;group_hh_size.adult_females;group_hh_size.male_children;group_hh_size.female_children;group_hh_size.children;group_hh_size.total;primary_livelihood;fishing_primary_livelihood;num_livelihoods_resp;num_livelihoods_hh;fishing_identity;fishing_gears_diversity;gear_rank;catch_normal_day;catch_units;catch_notes;effort_normal_day;cpue;value_normal_day;toUSd2016rate;value_normal_day_USd;num_crew;percent_catch_eat;percent_catch_sell;percent_catch_giveaway;capacity_change.keep_fishing;capacity_change.fish_more;capacity_change.change_grounds;capacity_change.change_gear;capacity_change.fish_less;capacity_change.stop_fishing;capacity_change.other;capacity_change_other;dependence_local_seafood;perception_resource_change;perception_resource_change_describe;perception_resource_change_2;perception_resource_change_describe_2_fra;perception_resource_change_describe_2_eng;human_actions_agency;human_agency;trust_community;trust_village_leaders;trust_mgmt;trust_NGOs;trust_government;rules.places_description;rules.gears_description;rules.times_description;rules.species_description;rules.other_description;rules.places_rule_origin;rules.gears_rule_origin;rules.times_rule_origin;rules.species_rule_origin;rules.other_rule_origin;rules.places_who_created_rules_other;rules.gears_who_created_rules_other;rules.times_who_created_rules_other;rules.species_who_created_rules_other;rules.other_who_created_rules_other;rules.places_poaching_level;rules.gears_poaching_level;rules.times_poaching_level;rules.species_poaching_level;rules.other_poaching_level;mgmt_community.effect_yn;mgmt_community.benefits;mgmt_community.effect_yn_2;mgmt_community.benefits_fra;mgmt_community.benefits_eng;mgmt_community.costs;mgmt_community.costs_fra;mgmt_community.costs_eng;mgmt_community.impact;mgmt_personal.effect_yn;mgmt_personal.benefits;mgmt_personal.effect_yn_2;mgmt_personal.benefits_fra;mgmt_personal.benefits_eng;mgmt_personal.costs;mgmt_personal.costs_fra;mgmt_personal.costs_eng;mgmt_personal.impact;mgmt_who_most_positively;mgmt_who_most_negatively;mgmt_fairness;why_mgmt_fairness;mgmt_effect_catch;mgmt_effect_effort;mgmt_effect_reliability;mgmt_support;why_mgmt_support;participation;political_efficacy;fairness_decision_making;why_fairness_decision_making;conflict_frequency;conflict_frequency_explain;life_satisfaction;life_satisfaction_causes_1;life_satisfaction_2;life_satisfaction_causes_1_fra;life_satisfaction_causes_1_eng;life_satisfaction_causes_1_domain_1;life_satisfaction_causes_1_domain_2;life_satisfaction_causes_1_category_1;life_satisfaction_causes_1_category_2;life_satisfaction_causes_2;life_satisfaction_causes_2_fra;life_satisfaction_causes_2_eng;life_satisfaction_causes_2_domain_1;life_satisfaction_causes_2_domain_2;life_satisfaction_causes_2_category_1;life_satisfaction_causes_2_category_2;life_satisfaction_causes_3;life_satisfaction_causes_3_fra;life_satisfaction_causes_3_eng;life_satisfaction_causes_3_domain_1;life_satisfaction_causes_3_domain_2;life_satisfaction_causes_3_category_1;life_satisfaction_causes_23_category_2;leaving_feeling;capacity_change;capacity_change.b;aXIS_1;aXIS_2;aXIS_3;aXIS_4;aXIS_5;assets.how_many_cooking_pots;assets.how_many_radios;assets.how_many_dvd;assets.how_many_mattresses;assets.how_many_mobile_phones;assets.how_many_smartphone;assets.how_many_indoor_toilets;assets.how_many_electric_fan.1;assets.how_many_piped_water;assets.how_many_washing_machines;assets.how_many_computers;assets.how_many_electric_refrigerators;assets.how_many_goats;assets.how_many_televisions;assets.how_many_satellite_dishs;assets.running_water;roof_material.2;wall_material.2;floor_material.2;electricity.2;boat.2;toilets.2;mode_transport.2;country.y;Num_Infrast
979;Madagascar;Northeast;Maroantsetra;Maroantsetra;Rantohely Secteur;25/11/2016;Narison Jean Zola;this_village;5;14;primary_completed;betsimisaraka;NA;single;no;female;NA;2;2;3;3;6;10;NA;no;2;2;somewhat_agree;2;fish_trap;2;bundles;NA;NA;NA;NA;3137.618;NA;2;100;NA;NA;true;false;false;false;false;false;false;NA;more_than_once_day;no_change;NA;no_change;NA;NA;yes;Il faut bien geres les ressources marin;about_half_half;trust_more_people;trust_more_people;about_half_half;trust_all;NA;Ramikaoko;novembre;Tortue de mer;NA;NA;government;government;fishers_local_users and NGO and government;NA;NA;NA;NA;NA;NA;NA;no_one;a_few;no_one;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;NA;no;NA;NA;NA;NA;NA;NA;les Vrai pecheurs;personne;neither;NA;somewhat_more;easier;somewhat_less_reliable;supportive;les produit de mer s'augmentent;not_involved;somewhat_disagree;fair;proteger l'environnement marine;no_conflict;NA;better;on a gagne du nouvel technologie;better;on a gagne du nouvel technologie;we got new technology;economic;NA;material wealth;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;sad;keep_fishing;no;-0.0640422430577932;-0.0467056171746414;0.123080134824356;0.00710252892474238;-0.105121897506559;>1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;tile;thach;wood;solar;no_boat;NA;NA;Madagascar;5
360;Madagascar;Northwest;Ambilobe;Ambilobe;Amparamilay;27/11/2016;RalaIbozaka Herilala Paul;this_village;NA;16;some_middle_school;antakarana;Muslim;single;yes;female;1;NA;2;2;1;3;5;NA;yes;3;3;somewhat_agree;1;other_1;1;kgs;NA;2;NA;8000;3137.618;2.549704904;1;NA;100;NA;false;false;false;false;false;true;false;NA;once_per_day;decreasing;augmentation des nombres de pecheurs;decreasing;augmentation du nombre de pecheurs;increase in the number of fishermen;no;les de l'autre village ne doivent pas pecher ici;NA;NA;trust_all;NA;NA;NA;NA;NA;tortue marine;NA;NA;NA;NA;government;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;NA;no;NA;NA;NA;NA;NA;NA;no;NA;no;NA;NA;NA;NA;NA;NA;je ne sait pas;NA;neither;NA;no_change;neither;no_change;neutral;NA;not_involved;strongly_disagree;fair;car la d'cision sont prise par la partie majoritaire;no_conflict;NA;no_change;NA;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;sad;stop_fishing;NA;-0.0207142909948923;0.0108832377112435;0.070756732733341;-0.0196129548947348;-0.0712877668513949;>1;0;0;>1;0;0;0;0;0;0;0;0;>10;0;0;yes;thach;thach;cement;solar;no_boat;no_toilet;no_transport;Madagascar;4
380;Madagascar;Northwest;Ambanja;Ambandja;Amporaha;10/12/2016;datsune;this_village;16;16;some_middle_school;antimoro;Catholic;single;NA;male;NA;1;0;0;0;0;1;Marin;yes;1;2;neither;1;mesh_gill_net_below5;10;bundles;NA;6;NA;10000;3137.618;3.187131129;1;2;98;0;true;false;false;false;false;false;false;NA;once_per_day;decreasing;il y a trop de pecheurs;decreasing;trop de pecheurs;too many fishermen;no;il depand de dieu;trust_all;trust_all;trust_all;trust_all;trust_all;Ambanja;filet a petites mailles;le jour tabou;tortue de mer;NA;NGO;NGO;other;NGO;NA;NA;NA;coutume du village;NA;NA;no_one;no_one;no_one;no_one;NA;yes;aucun;yes;aucun benefice;no benefit;il faut une carte pour pouvoir pecher, alors que tres dificile d'avoir une carte;il faut une carte pour pouvoir pecher, alors qu'il est tres dificile d'avoir une carte;a fisherman card is compulsory to fish but it is very difficut to get this card;bad;yes;aucun;yes;aucun;none;il y a trop de materiels de peche;trop de materiels de peche;too many fishing gears;bad;tout le monde, meme les etrangers;aucun;neither;les etrangers peuvent entrer;no_change;harder;no_change;unsupportive;il fait compliquer la pecherie;not_involved;somewhat_disagree;neither;les pecheurs ne sont pas contant;monthly;NA;worse;il n'y a des produit de peche;worse;il n'y a des produit de peche;no fishing products;economic;health;livelihoods;food security;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;neither;keep_fishing;no;-0.0896292320999606;0.127899003323009;-0.0486855619699098;0.140031823971517;-0.0135640581395552;>1;1;0;1;1;0;0;0;0;0;0;0;>1;0;0;no;thach;thach;thach;battery;no_boat;no_toilet;no_transport;Madagascar;2
1317;Madagascar;Northwest;Nosy be;Nosy be;Sakatia;15/12/2016;RalaIbozaka Herilala Paul;this_village;NA;16;some_primary;Sakalava;Muslim;single;yes;male;NA;1;NA;NA;NA;#VALEUR!;1;NA;no;1;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;3137.618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;once_per_day;increasing;car tous les jours il y a des personnes qui arrivent a avoir;increasing;prise de poissons reguliere;regular catch of fish;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;tortue marine;NA;NA;NA;NA;government;NA;NA;NA;NA;NA;NA;NA;NA;NA;no_one;NA;no;NA;no;NA;NA;NA;NA;NA;NA;no;NA;no;NA;NA;NA;NA;NA;NA;fokonolona;NA;neither;NA;no_change;don_t_know;don_t_know;supportive;a mon avis ils vont amelorer le niveau de vie des pecheurs dans le village;active;somewhat_disagree;fair;si l decision est juste pour la population doanc il faut l'accepter;no_conflict;NA;better;il y encore de la solidarite;better;il y encore de la solidarite;solidarity;social;NA;social capital and cohesion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.000827572837342474;0.0551207038089621;-0.00392694096235388;0.157026297159145;0.0558856553438641;>1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;yes;thach;wood;wood;petrol;no_boat;no_toilet;no_transport;Madagascar;8
1089;Madagascar;Northeast;Maroantsetra;Maroantsetra;Anandrivola;06/12/2016;Veloson Kalo;coastal_area_other;2;17;some_middle_school;betsimisaraka;FJKM;single;no;female;1;2;3;1;0;1;6;fish_trading;no;3;3;NA;0;NA;NA;NA;NA;NA;NA;NA;3137.618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;more_than_once_week;decreasing;climat,utilisation des filet a petite maille,existence des batteaux de peche,augmentation des nombres de pecheurs et des consommateurs;decreasing;climat, utilisation de filets a petite maille, existence de bateaux de peche, augmentation du nombre de pecheurs et de consommateurs;climate, use of small mesh nets, existence of fishing boats, increase in fishermen and consummers numbers;yes;interdire les filets a petite maille,les batteaux de peche;NA;NA;about_half_half;NA;NA;vatolava;filet a petite maille,senne de plage;mer perturbee,periode de fermerture;tortue marin,langouste,requin;NA;NGO and government;NGO and government;NGO and government;NGO and government;NA;NA;NA;NA;NA;NA;dont_know;dont_know;no_one;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;no;NA;no;NA;NA;NA;NA;NA;NA;les pecheurs car ils gagnent de l'argent;la population car ce sont les pecheurs qui fixent les prix;don_t_know;je ne sais pas;don_t_know;don_t_know;somewhat_less_reliable;neutral;Matoa raha asiana fitantananaa ao raha atahorana tsao hosimba;not_involved;somewhat_agree;fair;le but de la gestion c'est d'apporter des ameliorations;don_t_know;NA;better;les prix des produits augmente et la vie aussi;better;les prix des produits augmente et la vie aussi;raise of products prices;health;NA;food security;NA;construire une maison;construire une maison;building a house;economic;NA;material wealth;NA;scolariser les enfants;scolariser les enfants;children are going to school;social;NA;education and knowledge;NA;sad;NA;NA;0.334728588623137;-0.00765313199776321;0.0278525892562902;0.110785684946324;0.0186356046685302;>1;1;1;>1;1;0;0;0;0;0;0;0;0;1;0;yes;metal;wood;wood;solar;no_boat;latrine;motorcycle;Madagascar;7
1256;Madagascar;Northeast;Maroantsetra;Maroantsetra;Anandrivola;06/12/2016;17;this_village;17;17;some_middle_school;betsimisaraka;adventist;married;yes;male;1;1;1;0;1;1;3;fishing_gleaning;yes;1;1;somewhat_disagree;2;hand_line_offshore;10;bundles;NA;4;NA;NA;3137.618;NA;NA;NA;NA;NA;true;false;false;false;false;false;false;NA;more_than_once_week;decreasing;augmentation des pecheurs;decreasing;augmentation du nombre de pecheurs;increase in the number of fishermen;yes;eliminer les engein illegal(fillet a petite maille);trust_more_people;trust_more_people;trust_all;trust_all;trust_more_people;NA;Fillet a petit maille,senne de plage;mauvais temps;requin,torrtue marine;NA;NA;fishers_local_users and government;other;government;NA;NA;NA;la population;NA;NA;NA;no_one;no_one;no_one;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;less_than_once_year;NA;better;amelioration de revenue;better;amelioration de revenue;improvement in money income;economic;NA;economic wealth;NA;avoir des enfants;avoir des enfants;having children;social;NA;social capital and cohesion;NA;NA;NA;NA;NA;NA;NA;NA;very_sad;keep_fishing;no;-0.0697513750473111;0.0624397629912095;0.0245338417963444;0.0477447939478403;0.0709668613281116;>1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;no;thach;thach;thach;solar;no_motor;latrine;NA;Madagascar;7
1603;Madagascar;Southwest;Toliara II;Tulear 2;Tsandamba;12/12/2016;Soanahary Gerard;this_village;NA;17;primary_completed;na;Protestant;married;no;female;1;1;1;0;0;0;2;employer d'un etranger;no;3;3;somewhat_disagree;0;NA;NA;NA;NA;NA;NA;NA;3137.618;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;more_than_once_day;decreasing;Les pecheurs sont beaucoup plus nombreux;decreasing;pecheurs trop nombreux;too many fishermen;yes;Faire du reserve et au moment de l'ouverture seulement qu'on peche comme nous faisont/Trouver une autre activite secondaire pour diminuer la pecherie;distrust_more_people;distrust_more_people;trust_more_people;trust_more_people;distrust_more_people;badinga/ankiahia/nosyve;Poison/Senne a la plage/boutaille/Moustiquaire;15decembre-15Fevrier: pieuvres/1Octobre-Mars: crevette/juillet-aout: reserve temporaire;baleine/Tortues de mer/dauphin/Lambondriake;-;fishers_local_users and NGO;NGO and government;NGO and government;NGO and government;NA;NA;NA;NA;NA;NA;a_few;a_few;a_few;no_one;NA;no;NA;no;NA;NA;NA;NA;NA;NA;yes;beaucoup de prise a,;yes;beaucoup de prises a l'ouverture de la reserve;many catch during the fishing season in the reserve;La bonne prise est temporaire seulement en plus il y a qui ne respecte pas les regles et peche pendant la nuit;bonne prise temporaire seulement, non-respect des regles et peche pendant la nuit;there are good catch only two days after the fishing season starts, rules are not obeyed, fishing during the night;good;Sous collecteurs, collecteurs: ils ont beaucoup de benefice sur le marche/Les pecheurs: ils ont beaucoup de prises;NA;unfair;ca depends de la chance meme si on a beaucoup de prises;somewhat_more;much_easier;no_change;supportive;elle emporte des avantages au gens du villages et il y a de croissance deles fruits de mer en plus en grandes tailles;passive;somewhat_disagree;fair;Les membres ont reflechis ensemble pour les avantages;no_conflict;NA;better;Il y a de source de revenue;better;Il y a de source de revenue;money income;economic;NA;economic wealth;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;very_sad;NA;NA;-0.119613096953757;0.128272984149823;-0.112683564660346;-0.0438562394449673;0.0572820453010041;>1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;no;thach;thach;cement;battery;no_motor;no_toilet;no_transport;Madagascar;8
129;Madagascar;Northwest;Ambilobe;Ambilobe;Marimbe;28/11/2016;RalaIbozaka Herilala Paul;this_village;NA;17;primary_completed;antakarana;Muslim;married;yes;male;NA;1;1;1;NA;#VALEUR!;3;fishing_gleaning;yes;2;2;somewhat_agree;1;hand_line_inshore;4;kgs;NA;6;NA;8000;3137.618;2.549704904;NA;10;90;NA;false;false;false;false;false;true;false;NA;once_per_day;decreasing;augmentation de la population;decreasing;augmentation de la population;population growth;no;instaurer une zone de reserve ;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;stop_fishing;NA;-0.103062951576036;0.114305381476711;-0.0810573899435916;0.104222540693738;0.110919103004086;>1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;yes;thach;thach;dirt;battery;no_motor;no_toilet;no_transport;Madagascar;4
155;Madagascar;Northeast;Mananara;Mananara Nord;Tanambao;14/12/2016;Jean Zola;this_village;17;17;some_primary;betsimisaraka;NA;single;no;male;1;1;1;NA;NA;#VALEUR!;2;NA;no;3;NA;NA;1;NA;10;pieces;NA;4;NA;24000;3137.618;7.649114711;NA;20;80;NA;true;false;false;false;false;false;false;NA;more_than_once_week;decreasing;augmentation des pecheurs;decreasing;augmentation du nombre de pecheurs;increase in the number of fishermen;yes;ameliorer la gestion de ressources marine;distrust_more_people;trust_more_people;trust_more_people;trust_all;trust_more_people;ankoalabolona,ankoalabe;senne de plage,moustiquaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;keep_fishing;no;-0.128662498840813;-0.0845772862638935;0.0149613760896657;0.00237984385098741;-0.108321852256569;>1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no;thach;thach;thach;NA;no_boat;dry_toilet;NA;Madagascar;4
302;Madagascar;Northwest;Ambilobe;Ambilobe;Amparamilay;27/11/2016;alban;this_district;17;17;some_middle_school;antakarana;none;single;yes;male;NA;1;0;0;0;0;1;fishing_gleaning;yes;2;2;strongly_disagree;1;hand_line_offshore;8;kgs;NA;4;NA;16000;3137.618;5.099409807;2;12;88;0;false;false;true;false;true;false;false;NA;once_per_day;no_change;NA;no_change;NA;NA;no;rien;NA;NA;NA;NA;NA;rien;rien;fermeture ny langouste (decembre namars);tortue de mer;rien;NA;NA;government;government;NA;NA;NA;NA;NA;NA;NA;NA;no_one;no_one;NA;no;NA;no;NA;NA;NA;NA;NA;NA;no;NA;no;NA;NA;NA;NA;NA;NA;je ne sais pas;je ne sais pas;don_t_know;NA;no_change;neither;no_change;neutral;je ne sais pas;not_involved;strongly_disagree;don_t_know;NA;no_conflict;NA;better;pour etre au meme des autres qui sont en meme generation que moi;better;pour etre au meme des autres qui sont en meme generation que moi;NA;NA;NA;NA;NA;si il y a des activites renumeratrices de revenus;si il y a des activites renumeratrices de revenus;paid activities;economic;NA;employment;NA;NA;NA;NA;NA;NA;NA;NA;neither;fish_less;yes;-0.0430689046069817;0.101277708832997;-0.0313330044440645;0.0744890871863921;-0.0858235172062852;>1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;no;thach;thach;dirt;solar;no_boat;no_toilet;no_transport;Madagascar;4
