respondent_id,country,province,district,village,survey_date,interviewer_name,fj_survey_number,group_rules.group_other_rules.other_break_rules,group_mgmt_personal.effect_yn_personal,group_mgmt_personal.benefits_personal,group_mgmt_personal.costs_personal,group_mgmt_personal.impact_personal,group_mgmt_community.effect_yn_community,group_mgmt_community.benefits_community,group_mgmt_community.costs_community,group_mgmt_community.impact_community,mgmt_who_most_positively,mgmt_who_most_negatively
1471,Fiji,Ra,Nakorotubu,Nabukadra,2016-10-22,MFox,1,NA,yes,catch more fish,no village boat for monitoring,good,yes,catch more fish,no village boat to monitor tabu; tabus not clearly demarcated (no map),good,people who fish a lot,all feel the negative impacts
2006,Fiji,Ra,Nakorotubu,Nabukadra,2016-10-22,Wise,3,NA,yes,at the beginning of the tabu we can catch a lot more fish,"after a few years of the tabu people start to poach and we didn't see any benefits any more, there were less fish",bad,yes,NA,some people keep on breaking the tabu. we catch and sell much less fish than before the tabu.,bad,no one,mostly people who rely on fishing as their source of income
103,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,Luke,22,NA,yes,there is a lot of fish in the area,none,good,yes,people have more food to feed the family,none,good,community as a whole,none
536,Fiji,Ra,Nakorotubu,Nabukadra,2016-10-22,Luke,6,NA,yes,DK,"Im annoyed because i depend on fishing, there is plenty fish in the tabu but it was implemented by FLEMMA so we can't uplift otherwise we will be penalised",neutral,yes,none because the rest of them depend on fish,Fishers are restricted for their own qoliqoli,neutral,People regard the tabu as very bad,whole village
724,Fiji,Ra,Nakorotubu,Nabukadra,2016-10-22,ELogan,4,NA,no,Don't know because I don't fish,none,neutral,no,Don't know,Haven't really experienced it for this short term,neutral,DK,DK
371,Fiji,Ra,Nakorotubu,Nabukadra,2016-10-22,Didi,2,NA,yes,spill over effect on nearby reefs,tabu area should be closed for ten years (initially) but now this period has been extended. Interviewee thinks the tabu should be open after the initial ten years,neutral,yes,more fish on nearby reefs,disagreement and disconnect with Bose Vanua and Committees in regards to tabu area,neutral,fishers (men and women),the community. After Winston fishers fished inside the tabu area. the open reefs are now totally fished out.
413,Fiji,Ra,Nakorotubu,Nabukadra,2016-10-22,ELogan,5,NA,yes,Abundance of catch and long term benefits,None,good,yes,Abundance of catch during village occasions,Increase in poaching activity,good,The entire village,None
727,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,ELogan,18,no_one,yes,Abundance of catch; Less time spent during fishing (spillover effect),None,good,yes,Abundance of catch during village occasion.,None,good,The whole village,None
1723,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,ELogan,17,NA,yes,Abundance of catch for livelihoods,None,good,yes,Recovery of finish that are of important value,None,good,The entire village,None
357,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,MFox,7,NA,yes,brings more fish and invertebrates in qoliqoli; tabu is a breeding ground,none,very_good,yes,brings more fish and invertebrates in qoliqoli; tabu is a breeding ground,none,very_good,community benefits equally,no one
2083,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,ELogan,19,NA,yes,Recovery of ecosystem and fishes thereafter; Less time spent during fishing,None,good,yes,Abundance of catch during village occasion,None,good,Every household,None
1569,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,MFox,8,NA,yes,"provides a vision to improve coral reef system, for tourism purposes inclusive (but then cyclone winston came)",none,very_good,yes,more fish in tabu,lesser fishing grounds to fish in,very_good,no one,people who monitor the tabu because it can be difficult to enforce and monitor it
1862,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,ELogan,20,NA,yes,Spillover effect of fishes; Recovery of fish stocks,None,good,yes,Spillover effect of fishes; Abundance of catch during village occasion,None,good,The whole village,None
268,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,MFox,9,NA,yes,none,the respondent used to fish in the spot where the tabu was created,very_bad,yes,none,displacement of fishing area,bad,no one,DK
1912,Fiji,Lomavaiti,Levuka,Arovudi,2016-11-03,ELogan,36,NA,yes,Les time spent in fishing because of the spillover effect of fishes to non-tabu boundaries,None,good,yes,Abundance of fishes for the whole village,None,good,The whole village,"Women, distance to travel during fishing trips"
1511,Fiji,Lomavaiti,Levuka,Arovudi,2016-11-03,ELogan,37,NA,yes,Livelihood at home; less time spent in fishing,Distance to new fishing spot,good,yes,Abundance of fishes during village occasion; less time spent at sea during fishing gtrips,Tabu boundary to big,good,The whole village,"Women, distance to travel during fishing trips"
953,Fiji,Lomavaiti,Levuka,Arovudi,2016-11-03,ELogan,39,NA,yes,Support our livelihood; Recovery of fish species,None,good,yes,Spillover effect benefits the village; Recovery of ecosystem a whole,None,good,The whole village,None
1134,Fiji,Ra,Nakorotubu,Nadogoloa,2016-11-04,ELogan,51,NA,yes,Recovery of fishes and invertebrates,None,good,yes,Recovery of fishes and invertebrates,None,good,The whole village,None
161,Fiji,Ra,Nakorotubu,Nadogoloa,2016-11-04,ELogan,53,NA,yes,Good for our livelihood,None,good,yes,Recovery of fishes and invertebrates,None,good,The whole village,None
1567,Fiji,Ra,Nakorotubu,Nadogoloa,2016-11-04,ELogan,54,NA,yes,Recovery of fish stocks,None,good,yes,Recovery of fish stocks; Abundance of fish during village occasion,None,very_good,The whole village,None
1446,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,MFox,10,NA,no,N/A,N/A,NA,no,N/A,N/A,NA,DK,DK
640,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,Wise,11,NA,no,N/A,N/A,NA,no,N/A,N/A,NA,DK,DK
854,Fiji,Ra,Nakorotubu,Nadogoloa,2016-11-04,ELogan,56,NA,yes,Spillover effect; Abundance of catch during special village occasion,None,good,yes,Abundance of catch during special village occasion; Less time spent during fishing trips,None,good,The whole village,None
48,Fiji,Ra,Nakorotubu,Nadogoloa,2016-11-04,ELogan,55,NA,yes,Less time spent out at seas because of the spillover effect of fishes,None,good,yes,Spillover effect benefits the village during a village occasion,none,good,The whole village,None
166,Fiji,Lomavaiti,Levuka,Taviya,2016-11-03,Wise,12,NA,yes,Abundance of fishes in the tabu,None,very_good,yes,Recovery of food fishes,None,very_good,The whole Village,None
453,Fiji,Lomavaiti,Levuka,Taviya,2016-11-03,Wise,13,NA,yes,We can eat fish more then once per week,People from this village poach in the tabu area,neutral,yes,Nothing at all,People from this village poach in the tabu area,neutral,"Poachers, since its easier for them to catch fish in the tabu",The rest of the community that fish outside of the tabu
925,Fiji,Lomavaiti,Levuka,Taviya,2016-11-03,Wise,14,NA,yes,Recovery of marine life in the tabu,None,very_good,yes,Recovery of the community's food fish,None,very_good,The whole village,None
827,Fiji,Lomavaiti,Levuka,Taviya,2016-11-03,Wise,15,NA,yes,Recovery of totem fish,None,very_good,yes,Recovery of totem fish (bait fish),None,very_good,The whole village since most of our food fish have been seen to recover,None
2018,Fiji,Lomavaiti,Levuka,Taviya,2016-11-03,Wise,16,NA,yes,Recovery of large sized fishes,None,very_good,yes,Abundance of catch during village occasion,None,very_good,The whole village,None
824,Fiji,Lomavaiti,Levuka,Taviya,2016-11-02,Luke,23,NA,yes,Many and variety of species of fish are found,None,good,yes,Only on special occasions people gather food from the tabu area,None,very_good,Mostly the whole village,None
1598,Fiji,Bua,Kubulau,Kiobo,2016-11-15,ELogan,60,NA,yes,Abundance of fish food and source of livelihood,None,very_good,yes,Abundance of fish food and source of livelihood,None,very_good,The whole village,None
