respondent_id,country,province,district,village,survey_date,interviewer_name,ke_survey_number,group_mgmt_personal.effect_yn_personal,group_mgmt_personal.benefits_personal,group_mgmt_personal.costs_personal,group_mgmt_personal.impact_personal,group_mgmt_community.effect_yn_community,group_mgmt_community.benefits_community,group_mgmt_community.costs_community,group_mgmt_community.impact_community,mgmt_who_most_positively,mgmt_who_most_negatively
1208,Kenya,Coast,Kilifi,Kanamai,2017-01-23,Kosgei Jesse,mcmkan020,yes,getting food and getting financial benefits,none,good,yes,getting fish and less fishing time,environment degradation by those who don't adhere to rules,good,fishers we fish and get daily catch,those who break the law
1304,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Mohamed Khamis,mckib056,no,there has been an increase in my income and thus changing my life and there is availability of fish,none,good,no,guarding of the resources is good and there is an increase income to the community,there is limited fishing ground,good,i have been benefiting a lot from the closed areas.,none
1600,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Mohamed Khamis,mckib055,no,there has been an increase in income,none,good,no,NA,NA,good,the community -anything that comes in the community its divided,none
1459,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Maureen Shikami,mcmkan004,yes,the boats from kilifi county at some point they help,"the ring net users are destroying but the management doesn't take any measures,vessels are in scarcity and those available are usually very expensive to hire and if you take measures against those who break the law the family of the accused will end up hurting you",neutral,yes,all of us were brought a boat by kilifi county government and because i don't have mine i can be able to use the boat and earn a living,"spear gun fishers around the community conservation areas,others use torches and when they see the light from the torch and they are not caught they run away very far and the boat is very expensive to maintain",neutral,collecting levy because of the boats ksh 200 and they benefit a lot,the money is collected and we don't see any use of the money.no loans are available
1498,Kenya,Coast,Kilifi,Kanamai,2017-01-21,Maureen Shikami,mcmkan005,yes,they can look for markets if i miss one,they are very strict in licensing for fishers and sometimes you don't even have money,neutral,yes,they help in looking market for us-they bring customers to buy our fish,you must bribe them for them to sell your fish,good,everyone is affected- if i fish and i get a good catch the whole family enjoys,if we have conflicts over the destructive gears they don't even take responsbility
451,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Maureen Otieno,mcmkr021,yes,there is a lot of catch according to the caring of the environment,conflicts with the management because they don't work on all the opinions given to them.,neutral,yes,there will be good environment for the community,reduction in the number of fish and breaking of corals,neutral,"community,children and their future generation due to conservation of the sea",fish dealer- due to bad leadership.
1892,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Maureen Otieno,mcmkr019,yes,the catch is improved and at least there is good income,none,neutral,yes,good fish breed in restricted areas and tourism attraction,stealing in parks and use of illegal gears by unlawful fishermen,good,fishers -the catch is good even though not so good,fish monger- when fisher men gets big catch they increase the price
1574,Kenya,Coast,Msambweni,Mkwiro,2017-02-18,Maureen Otieno,mcmkr020,no,NA,NA,bad,yes,there is fish spill over,reduced fishing ground,bad,leaders since they are the ones with full information,fishers- reduced catch thus low income
1256,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Collins Katana,mcmkib010,yes,there is no positive impact,the closure is benefiting only but just but just a few and the gears which we normally use have been probihited,bad,no,NA,NA,NA,the community because their is alot of changes in their lives,none
289,Kenya,Coast,Kilifi,Kuruwitu,2017-04-29,Kosgei Jesse,mcmkrwt054,yes,none,i don't get fish as i used to get fish as before and fish prices has gone up,very_bad,yes,none,"putting fishing size limits, putting up more closures contributes to fish scarcity",very_bad,the government,the locals cause we do not see any benefit
1731,Kenya,Coast,Kilifi,Kuruwitu,2017-04-29,Kosgei Jesse,mcmkrwt053,yes,none,we do not see any benefits,very_bad,yes,none,"paying the levy but we do not see any benefits,rules are adhered but no benefits and going against the agreements set before",very_bad,leaders of the management,members
2115,Kenya,Coast,Kilifi,Kuruwitu,2017-04-29,Kosgei Jesse,mcmkrwt052,no,NA,NA,NA,yes,fish are let to grow and a lot of fish are found,"none, the laws help to curb negative issues",very_good,fishers group because they are the ones using it a lot,those who do not know marine rules
904,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Collins katana,mckib 001,no,none,limiting fishermen on some fishing grounds,bad,yes,none i have never seen any,the fishing community has been forced to go far and wide to look for fish,bad,the government,fishermen
1415,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Collins katana,mckib2,no,NA,NA,NA,no,NA,NA,NA,the community because they get alot of benefits,none
926,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Collins Katana,mckib03,no,NA,NA,NA,no,NA,NA,NA,the community,none
354,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Karisa Iha,mckib060,no,NA,NA,NA,no,increase of tourist and increase in the number of fish,none,good,the fishers themselves,none
1422,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Collins Katana,mckib04,no,NA,NA,NA,no,NA,NA,NA,the fishing community because they now educate their children and building houses,none because the management brings development to the fishermen
1803,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Collins Katana,mckib05,no,NA,NA,NA,yes,no benefits,the fishing community gets less benefits,neutral,the community because all the benefits goes straight to the community.,foreigners because they have to meet some requirements
689,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Collins Katana,mckib006,no,NA,NA,NA,no,NA,NA,NA,dont know,dont know
1724,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Collins Katana,mckib007,yes,scientific knowledge on marine resources,there is no transparency and accountability on revenue from the management,bad,yes,the fishing community is benefiting from the closure with tourism money tourism.there is community cohesion,no transparency on the income of the projects,bad,fishing community have benefited from scientific knowledge and other benefits,none
1536,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Collins Katana,mckib008,yes,none,many protocols by the bmu officials leading to discourage on fishing activity. Bmu officials are bias towards there members and also there isn't transparency in decison making,bad,yes,none,no transparency in Bmu officials in terms of finance,bad,BMU leaders they have all the mandate to decide,the fishing community due to many rules which dont have any meaning i.e bar fishermen who lack licence from fishing
546,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Collins Katana,mckib009,yes,there isn't any positive impacts to my life,they are not responsible and they have let marine resources get wasted and leading to poor benefits,bad,yes,there isn't any positive impacts to the community,corruption among the BMU officials,bad,BMU officials because they do not have transparency in their decision making proces.,the local fisherman because these management teams sometime get bribes from foreign fishermen
32,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Otieno,mcmkibo11,yes,alot of benefits,no negative impacts,neutral,yes,fish in the closure attracts foreign visitors who bring cash to the community,fishing inside closure due to greedy and selfishness of fishers,neutral,management and BMU exucutive together with the government are gaining more,fishermen they dont see the benefits
720,Kenya,Coast,Kilifi,Takaungu,2017-05-24,Maureen Shikami,mcmtkng015,no,NA,NA,NA,no,NA,NA,NA,i think its fishers because when they catch their fish they sell and they get income to their families,local person who doesnt go to the beach
107,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Otieno,mcmkib012,yes,getting shares from the closure,none,good,yes,the cared marine resources are an interest to tourist,none,good,fishermen they have all the time to fishing every day,sea weeds farmer it takes time to get a buyer for the sea weeds
1562,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Otieno,mcmkib013,yes,not fishing in the closure so that fish increase,being caught in the closure fishing,very_bad,yes,there is freedom of fishing without problems,you may miss a catch,neutral,committee members cause she is not involved in the program,the community because they get nothing
64,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-06,Maureen Otieno,mcmkib014,yes,it has barred all the worst fish methods and it has increased fish made fish not to run away,getting fish which has been spoiled through worst fishing methods,very_good,yes,there is a lot of fish which attract tourist which brings income to the community,none,good,fishermen are getting a lot of fish because there is no wastage of resources,those who are not in the BMU
11,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Maureen Otieno,mcmkib015,no,NA,NA,NA,no,NA,NA,NA,fishermen and the community at large are benefiting because fish from the closures.,none
1746,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Maureen Otieno,mcmkib016,no,NA,NA,NA,yes,there are tourist to come watch our fish,there is less fish,good,fishermen catch good fish with good weight,no idea
1129,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-07,Maureen Otieno,mcmkib017,yes,big benefits from the Bmu,missing benefits of the Bmu projects,very_good,yes,benefits from the initiated projects in the bmu such as sea weed farming,some bmu members destroying the habitats thus no benefits,very_good,the chairman is in the fore front because everything that comes has to be taken care by him,the community because everything that comes for the community it is with certainity that it wont reach to them
1631,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Maureen Otieno,mckib018,no,NA,NA,NA,no,NA,NA,NA,management leaders and fishermen according to the rules created,none rules are adhered
867,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-09,Maureen Otieno,mckib019,yes,protects fishing gears,fishermen issues are not properly tackled by the management,neutral,yes,license helps in acquiring new fishing vessels.there are a lot of turtles which attracts tourist and it is protected by the fishermen and also protecting the closure areas,prohibited type of fishing is still on gear,neutral,the community because they get a lot of fish,fishermen are mostly affected because the prohibited type of fishing is still in place
1490,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Maureen Otieno,mckib020,yes,there are alot of benefits from fish traps and no taking ones fish trap,throwing others fish traps and removing traps from where they placed,very_good,yes,sea weeds grown in closed areas and more fish breed in these areas and spill over,those who had got the correct information feel like they are not part of the system,neutral,fishermen because the management focuses on proper use of resources,fishermen who use beach seine nets because they are not allowed to do it anymore
1835,Kenya,Coast,Lungalunga,Kibuyuni,2017-01-10,Maureen Otieno,mckib021,yes,there is a lot of fish for everyone,the fisheries department doesn't take quick measures to people who break the law,very_good,yes,there is rapid increase of fish,some other guys go tend to think they are above the law and go fishing in the restricted areas,very_good,the fisherman is benefiting a lot from fishing,no one is affected
