seascape;village;years_village;age;education_level;religion;hh_head;gender;social_network;group_hh_size.total;primary_livelihood;fishing_primary_livelihood;num_livelihoods_hh;trust_community;trust_village_leaders;trust_mgmt;trust_NGOs;trust_government;mgmt_community.benefits_domain_1;mgmt_community.benefits_category_1;mgmt_community.costs_domain_1;mgmt_community.costs_category_1;mgmt_community.impact;mgmt_community.effect_yn_2;mgmt_support;participation;fairness_decision_making;conflict_frequency;life_satisfaction_2;life_satisfaction_causes_1_domain;life_satisfaction_causes_1_category;life_satisfaction_causes_2_domain;life_satisfaction_causes_2_category;life_satisfaction_causes_3_domain;life_satisfaction_causes_3_category;type_mgmt
Northeast;Tanambao;8;36;some_primary;Catholic;no;female;2;7;cash_crops;no;3;distrust_more_people;about_half_half;distrust_more_people;distrust_more_people;about_half_half;economy;economic wealth;NA;NA;neutral;yes;supportive;active;unfair;more_than_once_year;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Tanambao;8;36;some_primary;Catholic;no;female;2;7;cash_crops;no;3;distrust_more_people;about_half_half;distrust_more_people;distrust_more_people;about_half_half;health;food security;NA;NA;neutral;yes;supportive;active;unfair;more_than_once_year;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;40;40;some_middle_school;none;no;female;0;5;cash_crops;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;neutral;passive;don_t_know;no_conflict;a_lot_better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Imorona centre;40;40;some_middle_school;none;no;female;0;5;cash_crops;no;3;NA;NA;about_half_half;NA;NA;NA;NA;NA;NA;NA;NA;neutral;passive;don_t_know;no_conflict;a_lot_better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;20;30;primary_completed;Tsy mivavaka;yes;male;1;5;cash_crops;no;2;about_half_half;about_half_half;distrust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;unsupportive;not_involved;unfair;no_conflict;better;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;2;21;some_middle_school;FJKM;yes;male;0;3;cash_crops;no;2;distrust_more_people;about_half_half;about_half_half;about_half_half;not_at_all;NA;NA;NA;NA;NA;NA;supportive;passive;fair;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;76;76;primary_completed;Tsy mivavaka;yes;male;0;5;cash_crops;no;1;about_half_half;about_half_half;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;not_involved;neither;no_conflict;worse;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;15;32;primary_completed;Catholic;yes;male;0;5;cash_crops;no;1;about_half_half;about_half_half;about_half_half;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;passive;neither;no_conflict;no_change;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;30;53;NA;Tsy mivavaka;yes;male;0;5;cash_crops;no;2;about_half_half;distrust_more_people;trust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;active;neither;no_conflict;NA;NA;NA;NA;NA;NA;NA;lmma
Northeast;Maintimbato;30;53;NA;Tsy mivavaka;yes;male;0;5;cash_crops;no;2;about_half_half;distrust_more_people;trust_more_people;about_half_half;about_half_half;NA;NA;NA;NA;NA;NA;neutral;active;neither;no_conflict;better;social;education and knowledge;NA;NA;NA;NA;lmma
